Departure (Local),Arrival (Local),Duration,Origin,Destination,Train type,Train number,CO2,CO2 temp
2018-08-04 19:15,2018-08-04 20:57,1:42,Lausanne,Olten,IC,1537,,
2018-08-04 21:05,2018-08-04 21:34,0:29,Olten,Basel SBB,IC,10184,,
2018-08-05 07:48,2018-08-05 09:31,1:43,Basel Badischer Bahnhof,Ringsheim,RE,5334,,
2018-08-05 21:04,2018-08-05 22:49,1:45,Ringsheim,Basel Badischer Bahnhof,RE,17085,,
2018-08-06 07:02,2018-08-06 07:20,0:18,Sierentz,Basel SBB,TER,,,
2018-08-06 08:28,2018-08-06 08:55,0:27,Basel SBB,Olten,IC,10163,,
2018-08-06 09:02,2018-08-06 10:45,1:43,Olten,Lausanne,IC,1512,,
2018-08-09 19:15,2018-08-09 20:57,1:42,Lausanne,Olten,IC,1537,,
2018-08-09 21:05,2018-08-09 21:34,0:29,Olten,Basel SBB,IC,10184,,
2018-08-11 07:26,2018-08-11 08:58,1:32,Basel Badischer Bahnhof,Ringsheim,RE,17040,,
2018-08-11 19:26,2018-08-11 21:12,1:46,Ringsheim,Basel Badischer Bahnhof,RE,17039,,
2018-08-23 13:30,2018-08-23 13:44,0:14,St-Louis,Mulhouse,TER,96226,,
2018-09-18 19:04,2018-09-18 19:28,0:24,Basel SBB,Olten,IC,687,,
2018-09-18 19:40,2018-09-18 20:51,1:11,Olten,Yverdon-les-Bains,IC,534,,
2018-09-18 20:57,2018-09-18 21:20,0:23,Yverdon-les-Bains,Renens VD,S5,12583,,
2018-10-05 19:02,2018-10-05 19:09,0:07,Renens VD,Lausanne,RE,3233,,
2018-10-05 19:20,2018-10-05 20:26,1:06,Lausanne,Bern,IC,733,,
2018-10-05 20:36,2018-10-05 21:29,0:53,Bern,Basel SBB,IC,1084,,
2018-10-07 19:31,2018-10-07 20:24,0:53,Basel SBB,Bern,IC,1085,,
2018-10-07 20:34,2018-10-07 21:40,1:06,Bern,Lausanne,IC,732,,
2018-10-07 21:49,2018-10-07 21:54,0:05,Lausanne,Renens VD,RE,3234,,
2018-10-19 19:20,2018-10-19 20:26,1:06,Lausanne,Bern,IC,733,,
2018-10-19 20:36,2018-10-19 21:29,0:53,Bern,Basel SBB,IC,1084,,
2018-10-21 19:31,2018-10-21 20:24,0:53,Basel SBB,Bern,IC,1085,,
2018-10-21 20:34,2018-10-21 21:40,1:06,Bern,Lausanne,IC,732,,
2018-10-21 21:49,2018-10-21 21:54,0:05,Lausanne,Renens VD,RE,3234,,
2018-11-02 19:20,2018-11-02 20:26,1:06,Lausanne,Bern,IC,733,,
2018-11-02 20:36,2018-11-02 21:29,0:53,Bern,Basel SBB,IC,1084,,
2018-11-04 19:31,2018-11-04 20:24,0:53,Basel SBB,Bern,IC,1085,,
2018-11-04 20:34,2018-11-04 21:40,1:06,Bern,Lausanne,IC,732,,
2018-11-04 21:49,2018-11-04 21:54,0:05,Lausanne,Renens VD,RE,3234,,
2018-11-09 19:20,2018-11-09 20:26,1:06,Lausanne,Bern,IC,733,,
2018-11-09 20:36,2018-11-09 21:29,0:53,Bern,Basel SBB,IC,1084,,
2018-11-11 19:03,2018-11-11 20:10,1:07,Basel SBB,Biel/Bienne,IC,1634,,
2018-11-11 20:16,2018-11-11 21:20,1:04,Biel/Bienne,Morges,IC,30934,,
2018-11-18 12:23,2018-11-18 16:03,3:40,Lausanne,Paris Gare de Lyon,TGV Lyria,9268,,
2018-11-20 07:57,2018-11-20 11:37,3:40,Paris Gare de Lyon,Lausanne,TGV Lyria,9261,,
2018-12-21 19:20,2018-12-21 20:26,1:06,Lausanne,Bern,IC,733,,
2018-12-21 20:36,2018-12-21 21:29,0:53,Bern,Basel SBB,IC,1084,,
2018-12-26 19:03,2018-12-26 20:10,1:07,Basel SBB,Biel/Bienne,IC,1634,,
2018-12-26 20:16,2018-12-26 20:51,0:35,Biel/Bienne,Yverdon-les-Bains,IC,534,,
2018-12-26 20:57,2018-12-26 21:20,0:23,Yverdon-les-Bains,Renens VD,S5,24583,,
2019-01-31 19:02,2019-01-31 19:09,0:07,Renens VD,Lausanne,RE,18457,,
2019-01-31 19:20,2019-01-31 20:26,1:06,Lausanne,Bern,IC,733,,
2019-01-31 20:36,2019-01-31 21:29,0:53,Bern,Basel SBB,IC,1084,,
2019-02-02 19:13,2019-02-02 21:52,2:39,Basel SBB,Chur,IR,1985,,
2019-02-08 19:09,2019-02-08 21:27,2:18,Chur,Basel SBB,IC,584,,
2019-02-17 19:20,2019-02-17 19:37,0:17,Bulle,Romont,RE,4035,,
2019-02-17 19:44,2019-02-17 20:16,0:32,Romont,Lausanne,IR,2532,,
2019-02-17 20:27,2019-02-17 20:33,0:06,Lausanne,Renens VD,RE,31076,,
2019-03-29 19:20,2019-03-29 20:26,1:06,Lausanne,Bern,IC,733,,
2019-03-29 20:36,2019-03-29 21:29,0:53,Bern,Basel SBB,IC,1084,,
2019-03-31 19:31,2019-03-31 20:24,0:53,Basel SBB,Bern,IC,1085,,
2019-03-31 20:34,2019-03-31 21:40,1:06,Bern,Lausanne,IC,732,,
2019-04-18 19:20,2019-04-18 20:26,1:06,Lausanne,Bern,IC,733,,
2019-04-18 20:36,2019-04-18 21:29,0:53,Bern,Basel SBB,IC,1084,,
2019-04-24 08:00,2019-04-24 09:12,1:12,St-Louis,Strasbourg,TER,96216,,
2019-04-24 20:21,2019-04-24 21:33,1:12,Strasbourg,St-Louis,TER,96241,,
2019-04-25 09:31,2019-04-25 10:24,0:53,Basel SBB,Bern,IC,1065,,
2019-04-25 10:34,2019-04-25 11:40,1:06,Bern,Lausanne,IC,712,,
2019-05-24 19:20,2019-05-24 20:26,1:06,Lausanne,Bern,IC,733,,
2019-05-24 20:36,2019-05-24 21:29,0:53,Bern,Basel SBB,IC,1084,,
2019-05-26 19:04,2019-05-26 19:28,0:24,Basel SBB,Olten,IC,687,,
2019-05-26 19:40,2019-05-26 20:51,1:11,Olten,Yverdon-les-Bains,IC,534,,
2019-05-26 20:57,2019-05-26 21:20,0:23,Yverdon-les-Bains,Renens VD,S5,24583,,
2019-07-05 19:20,2019-07-05 20:26,1:06,Lausanne,Bern,IC,733,,
2019-07-05 20:36,2019-07-05 21:29,0:53,Bern,Basel SBB,IC,1084,,
2019-07-19 08:00,2019-07-19 09:09,1:09,St-Louis,Strasbourg,TER,96212,0.69,
2019-07-19 10:51,2019-07-19 12:09,1:18,Strasbourg,Basel SBB,TER,96217,0.72,
2019-07-29 07:30,2019-07-29 08:39,1:09,St-Louis,Strasbourg,TER,96210,0.69,
2019-07-29 09:51,2019-07-29 11:00,1:09,Strasbourg,St-Louis,TER,96215,0.69,
2019-07-30 06:34,2019-07-30 08:29,1:55,Basel Badischer Bahnhof,Ringsheim,RE,17012,,
2019-07-30 19:26,2019-07-30 21:12,1:46,Ringsheim,Basel Badischer Bahnhof,RE,17039,,
2019-08-03 07:07,2019-08-03 07:15,0:08,Pudong Airport,Longyang Road,Maglev,,,
2019-08-04 10:06,2019-08-04 11:01,0:55,Shanghai Hongqiao,Hangzhou East,G,7319,,
2019-08-04 21:06,2019-08-04 22:05,0:59,Hangzhou East,Shanghai Hongqiao,G,7340,,
2019-08-05 08:00,2019-08-05 08:27,0:27,Shanghai West,Suzhou,G,7004,,
2019-08-05 14:47,2019-08-05 15:20,0:33,Suzhou,Shanghai West,G,7082,,
2019-08-05 17:55,2019-08-05 22:36,4:41,Shanghai,Beijing,G,18,,
2019-08-10 08:00,2019-08-10 10:16,2:16,Beijing South,Shanhaiguan,G,387,,
2019-08-10 20:30,2019-08-10 22:38,2:08,Shanhaiguan,Beijing South,G,385,,
2019-08-12 15:13,2019-08-12 15:50,0:37,Schiphol Airport,Delft,Intercity,2459,,
2019-08-12 17:50,2019-08-12 18:06,0:16,Delft,Den Haag Centraal,Sprinter,5158,,
2019-08-12 21:17,2019-08-12 21:30,0:13,Den Haag Centraal,Delft,Intercity,1181,,
2019-08-13,2019-08-13,0:00,Delft,Den Haag Centraal,,,,
2019-08-13,2019-08-13,,Den Haag Centraal,Amsterdam-Centraal,,,,
2019-08-13,2019-08-13,0:00,Amsterdam,Den Haag Centraal,,,,
2019-08-13,2019-08-13,,Den Haag Centraal,Delft,,,,
2019-10-06 08:25,2019-10-06 08:45,0:20,Delft,Leiden Centraal,Intercity,2229,,
2019-10-06 08:16,2019-10-06 08:35,0:19,Leiden Centraal,Delft,,,,
2019-10-11 06:54,2019-10-11 07:55,1:01,Delft,Amsterdam-Centraal,Intercity,,,
2019-10-13 10:40,2019-10-13 10:58,0:18,Amsterdam-Centraal,Schiphol Airport,,,,
2019-10-13 11:10,2019-10-13 11:51,0:41,Schiphol Airport,Delft,,,,
2019-11-10 07:54,2019-11-10 08:55,1:01,Delft,Amsterdam-Centraal,Intercity,,,
2019-11-10 17:34,2019-11-10 18:35,1:01,Amsterdam-Centraal,Delft,Intercity,,,
2019-12-21 07:01,2019-12-21 07:12,0:11,Delft,Rotterdam Centraal,Intercity,,,
2019-12-21 07:20,2019-12-21 07:58,0:38,Rotterdam Centraal,Utrecht Centraal,Intercity,,,
2019-12-21 08:37,2019-12-21 14:47,6:10,Utrecht Centraal,Basel SBB,ICE,105,,
2019-12-27 15:13,2019-12-27 21:31,6:18,Basel SBB,Utrecht Centraal,ICE,104,,
2019-12-27 21:42,2019-12-27 22:50,1:08,Utrecht Centraal,Delft,,,,
2019-12-29 13:36,2019-12-29 13:47,0:11,Delft,Den Haag Centraal,,,,
2019-12-29 16:53,2019-12-29 17:09,0:16,Den Haag Centraal,Delft,,,,
2019-12-30 08:24,2019-12-30 09:25,1:01,Delft,Amsterdam-Centraal,Intercity,,,
2019-12-30 16:02,2019-12-30 16:39,0:37,Amsterdam-Centraal,Leiden Centraal,,,,
2019-12-30 16:45,2019-12-30 17:26,0:41,Leiden Centraal,Delft,,,,
2019-12-31 14:24,2019-12-31 14:40,0:16,Delft,Rotterdam Centraal,,,,
2020-01-01 00:50,2020-01-01 01:34,0:44,Rotterdam Centraal,Delft,,,,
2020-01-25 06:24,2020-01-25 06:45,0:21,Delft,Leiden Centraal,Intercity,,,
2020-01-25 06:47,2020-01-25 07:02,0:15,Leiden Centraal,Schiphol Airport,Intercity,,,
2020-02-01 09:06,2020-02-01 11:22,2:16,Basel SBB,Chur,ICE,271,,
2020-02-07 19:09,2020-02-07 21:27,2:18,Chur,Basel SBB,IC,584,,
2020-02-09 13:49,2020-02-09 14:02,0:13,Schiphol Airport,Amsterdam Bijlmer ArenA,Intercity,,,
2020-02-09 14:04,2020-02-09 15:04,1:00,Amsterdam Bijlmer ArenA,Rotterdam Centraal,Sprinter,,,
2020-02-09 15:12,2020-02-09 15:24,0:12,Rotterdam Centraal,Delft,Intercity,,,
2020-04-16 05:41,2020-04-16 05:56,0:15,Delft,Den Haag Centraal,Sprinter,,,
2020-04-16 06:08,2020-04-16 07:18,1:10,Den Haag Centraal,Amsterdam-Centraal,Sprinter,,,
2020-04-16 08:08,2020-04-16 14:35,6:27,Amsterdam-Centraal,Basel Badischer Bahnhof,ICE,105,,
2020-07-06 10:04,2020-07-06 10:18,0:14,Delft,Rotterdam Centraal,,,,
2020-07-06 17:25,2020-07-06 17:40,0:15,Rotterdam Centraal,Delft,,,,
2020-07-12 09:54,2020-07-12 10:07,0:13,Delft,Den Haag Centraal,,,,
2020-07-12 14:00,2020-07-12 14:15,0:15,Den Haag Centraal,Delft,,,,
2020-07-14 16:36,2020-07-14 16:54,0:18,Delft,Rotterdam Centraal,,,,
2020-07-14 20:10,2020-07-14 20:38,0:28,Rotterdam Centraal,Delft,,,,
2020-09-10 19:20,2020-09-10 20:26,1:06,Lausanne,Bern,IC,733,,
2020-09-10 20:36,2020-09-10 21:32,0:56,Bern,Basel SBB,IC,1084,,
2020-09-13 19:03,2020-09-13 20:10,1:07,Basel SBB,Biel/Bienne,IC,1634,,
2020-09-13 20:16,2020-09-13 20:51,0:35,Biel/Bienne,Yverdon-les-Bains,IC,10534,,
2020-09-13 20:57,2020-09-13 21:20,0:23,Yverdon-les-Bains,Renens VD,S5,24583,,
2020-10-15 19:20,2020-10-15 20:26,1:06,Lausanne,Bern,IC,733,,
2020-10-15 20:36,2020-10-15 21:32,0:56,Bern,Basel SBB,IC,1084,,
2020-10-18 19:03,2020-10-18 20:10,1:07,Basel SBB,Biel/Bienne,IC,1634,,
2020-10-18 20:16,2020-10-18 20:51,0:35,Biel/Bienne,Yverdon-les-Bains,IC,534,,
2020-10-18 20:57,2020-10-18 21:20,0:23,Yverdon-les-Bains,Renens VD,S5,24583,,
2020-12-23 19:20,2020-12-23 20:26,1:06,Lausanne,Bern,IC,733,,
2020-12-23 20:36,2020-12-23 21:32,0:56,Bern,Basel SBB,IC,1084,,
